Polluant,valeur,Latitude,Longitude,nom site,Zas,Année
PM10,17.0,49.119442,6.180833,Metz-Centre,ZAG METZ,2022
PM10,13.0,49.110283,6.223336,Metz-Borny,ZAG METZ,2022
PM10,17.0,48.915,6.058336,Pont-à-Mousson,ZR GRAND-EST,2022
PM10,20.0,48.884724,6.051392,Blénod-lès-PAM,ZR GRAND-EST,2022
PM10,15.0,49.36861,6.160831,Thionville-Piscine,ZAG METZ,2022
PM10,19.0,49.358337,6.156942,Thionville-Centre,ZAG METZ,2022
PM10,13.0,49.3374,6.08207,HAYANGE-MARSPICH,ZAG METZ,2022
PM10,17.0,49.12508,6.181219,Metz- Pont Grilles,ZAG METZ,2022
PM10,24.0,43.401952,4.981919,Port de Bouc Leque,ZAG MARSEILLE-AIX,2022
PM10,20.0,43.39378,4.801024,Port Saint Louis,ZAG MARSEILLE-AIX,2022
PM10,19.0,43.675114,4.62921,Arles,ZR PROVENCE-ALPES-COTE-D-AZUR,2022
PM10,24.0,43.399546,5.113214,Chateauneuf La Mede,ZAG MARSEILLE-AIX,2022
PM10,18.0,43.639002,5.101097,SALON,ZAG MARSEILLE-AIX,2022
PM10,22.0,43.4165306,5.222281,Marignane,ZAG MARSEILLE-AIX,2022
PM10,36.0,43.276451,5.39736,MARSEILLE RABATAU,ZAG MARSEILLE-AIX,2022
PM10,26.0,43.348048,5.360119,MARSEILLE ST LOUIS,ZAG MARSEILLE-AIX,2022
PM10,23.0,43.524075,5.448164,AIX ROY RENE,ZAG MARSEILLE-AIX,2022
PM10,16.0,43.335201,5.727365,PLAN AUPS/STE  BAUME,ZR PROVENCE-ALPES-COTE-D-AZUR,2022
PM10,20.0,43.530285,5.440912,AIX CENTRE ECOLE ART,ZAG MARSEILLE-AIX,2022
PM10,23.0,43.453584,5.466672,GARDANNE,ZAG MARSEILLE-AIX,2022
PM10,21.0,43.305287,5.394716,MARSEILLE 5 AVENUES,ZAG MARSEILLE-AIX,2022
PM10,18.0,43.398731,6.075611,BRIGNOLES,ZR PROVENCE-ALPES-COTE-D-AZUR,2022
PM10,27.0,43.126821,5.921605,TOULON FOCH,ZAG TOULON,2022
PM10,17.0,43.119737,6.131319,HYERES,ZAG TOULON,2022
PM10,20.0,43.437874,6.76839,ESTEREL,ZR PROVENCE-ALPES-COTE-D-AZUR,2022
PM10,22.0,43.131113,5.924184,TOULON CLARET,ZAG TOULON,2022
PM10,19.0,43.949673,4.804341,AVIGNON   MAIRIE,ZAG AVIGNON,2022
PM10,24.0,43.93706,4.824909,Avignon Semard,ZAG AVIGNON,2022
PM10,32.0,43.9314,4.826875,Avignon Rocade De Gaulle,ZAG AVIGNON,2022
PM10,17.0,48.930319,2.29435,GENNEVILLIERS,ZAG PARIS,2022
PM10,20.0,48.891666,2.346667,PARIS 18eme,ZAG PARIS,2022
PM10,28.0,48.827778,2.3275,Place Victor Basch,ZAG PARIS,2022
PM10,17.0,49.04639,2.043056,CERGY-PONTOISE,ZAG PARIS,2022
PM10,27.0,48.868772,2.311231,Av Champs Elysees,ZAG PARIS,2022
PM10,16.0,48.775897,2.375788,VITRY-SUR-SEINE,ZAG PARIS,2022
PM10,20.0,48.86212,2.344616,PARIS 1er Les Halles,ZAG PARIS,2022
PM10,32.0,48.925278,2.356667,Auto A1 -Saint-Denis,ZAG PARIS,2022
PM10,13.0,48.364166,2.236944,Zone rurale Sud,ZR ILE-DE-FRANCE,2022
PM10,17.0,48.84028,2.635278,LOGNES,ZAG PARIS,2022
PM10,19.0,48.840557,2.484444,NOGENT-SUR-MARNE,ZAG PARIS,2022
PM10,24.0,48.870274,2.3325,Place de l'Opéra,ZAG PARIS,2022
PM10,24.0,48.528057,2.653611,RN6-MELUN,ZAG PARIS,2022
PM10,26.0,48.90222,2.390833,RN2-PANTIN,ZAG PARIS,2022
PM10,24.0,48.873333,2.330278,Boulevard Haussmann,ZAG PARIS,2022
PM10,19.0,48.902504,2.4525,BOBIGNY,ZAG PARIS,2022
PM10,15.0,49.063087,1.866381,Zone Rurale NO,ZR ILE-DE-FRANCE,2022
PM10,20.0,48.8059,3.084158,RD934 Coulommiers,ZR ILE-DE-FRANCE,2022
PM10,19.0,48.830387,2.269889,PARIS Stade Lenglen,ZAG PARIS,2022
PM10,14.0,48.63373,1.830529,RAMBOUILLET,ZR ILE-DE-FRANCE,2022
PM10,18.0,48.95555,2.575278,TREMBLAY-EN-FRANCE,ZAG PARIS,2022
PM10,29.0,48.838615,2.412781,Bld peripherique Est,ZAG PARIS,2022
PM10,15.0,49.415108,0.2437,Honfleur Sce Tech.,ZR NORMANDIE,2022
PM10,18.0,49.48963,0.100703,Le Havre Ec. Herriot,ZAR LE-HAVRE,2022
PM10,17.0,49.50273,0.232486,Gonfreville l Orcher,ZAR LE-HAVRE,2022
PM10,15.0,49.493332,0.571853,NDGravenchon Pasteur,ZAR LE-HAVRE,2022
PM10,23.0,49.500187,0.110903,Le Havre Lafaurie-montant,ZAR LE-HAVRE,2022
PM10,16.0,49.514686,0.100645,Le Havre ville-haute,ZAR LE-HAVRE,2022
PM10,16.0,50.35853,3.50804,Valenciennes Acacias,ZAG BLDV,2022
PM10,16.0,50.37822,3.06586,Douai Theuriet,ZAG BLDV,2022
