Polluant,valeur,Latitude,Longitude,nom site,Zas,Année
NO2,15.0,49.119442,6.180833,Metz-Centre,ZAG METZ,2020
NO2,13.0,49.110283,6.223336,Metz-Borny,ZAG METZ,2020
NO2,13.0,48.886387,6.093611,Atton,ZR GRAND-EST,2020
NO2,11.0,49.107502,6.122775,Scy-Chazelles,ZAG METZ,2020
NO2,13.0,49.36861,6.160831,Thionville-Piscine,ZAG METZ,2020
NO2,17.0,49.358337,6.156942,Thionville-Centre,ZAG METZ,2020
NO2,15.0,49.394444,6.201392,Thionville-Garche,ZAG METZ,2020
NO2,13.0,49.131115,6.207225,St-Julien-lès-Metz,ZAG METZ,2020
NO2,22.0,49.12508,6.181219,Metz- Pont Grilles,ZAG METZ,2020
NO2,16.0,49.16778,5.387461,Belleville sur Meuse,ZR GRAND-EST,2020
NO2,23.0,43.405297,5.051636,Martigues l'Ile,ZAG MARSEILLE-AIX,2020
NO2,21.0,43.44603,5.254136,Vitrolles,ZAG MARSEILLE-AIX,2020
NO2,16.0,43.675114,4.62921,Arles,ZR PROVENCE-ALPES-COTE D’AZUR,2020
NO2,13.0,43.639002,5.101097,SALON,ZAG MARSEILLE-AIX,2020
NO2,18.0,43.4165306,5.222281,Marignane,ZAG MARSEILLE-AIX,2020
NO2,35.0,43.276451,5.39736,MARSEILLE RABATAU,ZAG MARSEILLE-AIX,2020
NO2,30.0,43.348048,5.360119,MARSEILLE ST LOUIS,ZAG MARSEILLE-AIX,2020
NO2,28.0,43.524075,5.448164,AIX ROY RENE,ZAG MARSEILLE-AIX,2020
NO2,17.0,43.530285,5.440912,AIX CENTRE ECOLE ART,ZAG MARSEILLE-AIX,2020
NO2,14.0,43.293138,5.574184,AUBAGNE LES PASSONS,ZAG MARSEILLE-AIX,2020
NO2,22.0,43.305287,5.394716,MARSEILLE 5 AVENUES,ZAG MARSEILLE-AIX,2020
NO2,16.0,43.101565,5.875404,LA SEYNE GENOUD,ZAG TOULON,2020
NO2,31.0,43.126821,5.921605,TOULON FOCH,ZAG TOULON,2020
NO2,9.0,43.437874,6.76839,ESTEREL,ZAR FREJUS-DRAGUIGNAN,2020
NO2,18.0,43.131113,5.924184,TOULON CLARET,ZAG TOULON,2020
NO2,13.0,43.949673,4.804341,AVIGNON   MAIRIE,ZAG AVIGNON,2020
NO2,14.0,43.960144,4.856731,LE PONTET,ZAG AVIGNON,2020
NO2,24.0,43.93706,4.824909,Avignon Semard,ZAG AVIGNON,2020
NO2,21.0,48.930319,2.29435,GENNEVILLIERS,ZAG PARIS,2020
NO2,25.0,48.891666,2.346667,PARIS 18eme,ZAG PARIS,2020
NO2,45.0,48.827778,2.3275,Place Victor Basch,ZAG PARIS,2020
NO2,25.0,48.837223,2.3939,PARIS 12eme,ZAG PARIS,2020
NO2,25.0,48.88139,2.278056,NEUILLY-SUR-SEINE,ZAG PARIS,2020
NO2,25.0,48.9039,2.3847,AUBERVILLIERS,ZAG PARIS,2020
NO2,19.0,48.99083,2.444722,GONESSE,ZAG PARIS,2020
NO2,15.0,48.799168,2.130556,VERSAILLES,ZAG PARIS,2020
NO2,28.0,48.868772,2.311231,Av Champs Elysees,ZAG PARIS,2020
NO2,22.0,48.775897,2.375788,VITRY-SUR-SEINE,ZAG PARIS,2020
NO2,22.0,48.82861,2.360278,PARIS 13eme,ZAG PARIS,2020
NO2,6.0,48.581944,1.883333,Zone Rurale SO,ZR ILE-DE-FRANCE,2020
NO2,21.0,48.95139,2.223611,ARGENTEUIL,ZAG PARIS,2020
NO2,21.0,48.86212,2.344616,PARIS 1er Les Halles,ZAG PARIS,2020
NO2,59.0,48.925278,2.356667,Auto A1 -Saint-Denis,ZAG PARIS,2020
NO2,23.0,48.93722,2.361667,SAINT-DENIS,ZAG PARIS,2020
NO2,18.0,48.8572,2.2933,PARIS 7eme,ZAG PARIS,2020
NO2,16.0,48.9964,1.7033,MANTES-LA-JOLIE,ZAG PARIS,2020
